itching; skin rash; nodal skin eruptions; dischromic  patches,Fungal_infection
 skin rash; nodal skin eruptions; dischromic  patches,Fungal_infection
itching; nodal skin eruptions; dischromic  patches,Fungal_infection
itching; skin rash; dischromic  patches,Fungal_infection
itching; skin rash; nodal skin eruptions,Fungal_infection
 continuous sneezing; shivering; chills; watering from eyes,Allergy
 shivering; chills; watering from eyes,Allergy
 continuous sneezing; chills; watering from eyes,Allergy
 continuous sneezing; shivering; watering from eyes,Allergy
 continuous sneezing; shivering; chills,Allergy
 stomach pain; acidity; ulcers on tongue; vomiting; cough; chest pain,GERD
 stomach pain; ulcers on tongue; vomiting; cough; chest pain,GERD
 stomach pain; acidity; vomiting; cough; chest pain,GERD
 stomach pain; acidity; ulcers on tongue; cough; chest pain,GERD
 stomach pain; acidity; ulcers on tongue; vomiting; chest pain,GERD
 stomach pain; acidity; ulcers on tongue; vomiting; cough,GERD
 acidity; ulcers on tongue; vomiting; cough; chest pain,GERD
itching; vomiting; yellowish skin; nausea; loss of appetite; abdominal pain; yellowing of eyes,Chronic_cholestasis
 vomiting; yellowish skin; nausea; loss of appetite; abdominal pain; yellowing of eyes,Chronic_cholestasis
itching; yellowish skin; nausea; loss of appetite; abdominal pain; yellowing of eyes,Chronic_cholestasis
itching; vomiting; nausea; loss of appetite; abdominal pain; yellowing of eyes,Chronic_cholestasis
itching; vomiting; yellowish skin; loss of appetite; abdominal pain; yellowing of eyes,Chronic_cholestasis
itching; vomiting; yellowish skin; nausea; abdominal pain; yellowing of eyes,Chronic_cholestasis
itching; vomiting; yellowish skin; nausea; loss of appetite; yellowing of eyes,Chronic_cholestasis
itching; vomiting; yellowish skin; nausea; loss of appetite; abdominal pain,Chronic_cholestasis
itching; skin rash; stomach pain; burning micturition; spotting  urination,Drug_Reaction
itching; stomach pain; burning micturition; spotting  urination,Drug_Reaction
itching; skin rash; burning micturition; spotting  urination,Drug_Reaction
itching; skin rash; stomach pain; spotting  urination,Drug_Reaction
itching; skin rash; stomach pain; burning micturition,Drug_Reaction
 skin rash; stomach pain; burning micturition; spotting  urination,Drug_Reaction
 vomiting; loss of appetite; abdominal pain; passage of gases; internal itching,Peptic_ulcer_diseae
 vomiting; indigestion; abdominal pain; passage of gases; internal itching,Peptic_ulcer_diseae
 indigestion; loss of appetite; abdominal pain; passage of gases; internal itching,Peptic_ulcer_diseae
 vomiting; indigestion; loss of appetite; passage of gases; internal itching,Peptic_ulcer_diseae
 vomiting; indigestion; loss of appetite; abdominal pain; internal itching,Peptic_ulcer_diseae
 vomiting; indigestion; loss of appetite; abdominal pain; passage of gases,Peptic_ulcer_diseae
 vomiting; indigestion; loss of appetite; abdominal pain; passage of gases; internal itching,Peptic_ulcer_diseae
 muscle wasting; patches in throat; high fever; extra marital contacts,AIDS
 patches in throat; high fever; extra marital contacts,AIDS
 muscle wasting; high fever; extra marital contacts,AIDS
 muscle wasting; patches in throat; extra marital contacts,AIDS
 muscle wasting; patches in throat; high fever,AIDS
 fatigue; weight loss; restlessness; lethargy; irregular sugar level; blurred and distorted vision; obesity; excessive hunger; increased appetite; polyuria,Diabetes_
 weight loss; restlessness; lethargy; irregular sugar level; blurred and distorted vision; obesity; excessive hunger; increased appetite; polyuria,Diabetes_
 fatigue; restlessness; lethargy; irregular sugar level; blurred and distorted vision; obesity; excessive hunger; increased appetite; polyuria,Diabetes_
 fatigue; weight loss; lethargy; irregular sugar level; blurred and distorted vision; obesity; excessive hunger; increased appetite; polyuria,Diabetes_
 fatigue; weight loss; restlessness; irregular sugar level; blurred and distorted vision; obesity; excessive hunger; increased appetite; polyuria,Diabetes_
 fatigue; weight loss; restlessness; lethargy; blurred and distorted vision; obesity; excessive hunger; increased appetite; polyuria,Diabetes_
 fatigue; weight loss; restlessness; lethargy; irregular sugar level; obesity; excessive hunger; increased appetite; polyuria,Diabetes_
 fatigue; weight loss; restlessness; lethargy; irregular sugar level; blurred and distorted vision; excessive hunger; increased appetite; polyuria,Diabetes_
 fatigue; weight loss; restlessness; lethargy; irregular sugar level; blurred and distorted vision; obesity; increased appetite; polyuria,Diabetes_
 vomiting; sunken eyes; dehydration; diarrhoea,Gastroenteritis
 sunken eyes; dehydration; diarrhoea,Gastroenteritis
 vomiting; dehydration; diarrhoea,Gastroenteritis
 vomiting; sunken eyes; diarrhoea,Gastroenteritis
 vomiting; sunken eyes; dehydration,Gastroenteritis
 fatigue; cough; high fever; breathlessness; family history; mucoid sputum,Bronchial_Asthma
 cough; high fever; breathlessness; family history; mucoid sputum,Bronchial_Asthma
 fatigue; high fever; breathlessness; family history; mucoid sputum,Bronchial_Asthma
 fatigue; cough; breathlessness; family history; mucoid sputum,Bronchial_Asthma
 fatigue; cough; high fever; family history; mucoid sputum,Bronchial_Asthma
 fatigue; cough; high fever; breathlessness; mucoid sputum,Bronchial_Asthma
 fatigue; cough; high fever; breathlessness; family history,Bronchial_Asthma
 headache; chest pain; dizziness; loss of balance; lack of concentration,Hypertension_
 chest pain; dizziness; loss of balance; lack of concentration,Hypertension_
 headache; dizziness; loss of balance; lack of concentration,Hypertension_
 headache; chest pain; loss of balance; lack of concentration,Hypertension_
 headache; chest pain; dizziness; lack of concentration,Hypertension_
 headache; chest pain; dizziness; loss of balance,Hypertension_
 acidity; indigestion; headache; blurred and distorted vision; excessive hunger; stiff neck; depression; irritability; visual disturbances,Migraine
 indigestion; headache; blurred and distorted vision; excessive hunger; stiff neck; depression; irritability; visual disturbances,Migraine
 acidity; headache; blurred and distorted vision; excessive hunger; stiff neck; depression; irritability; visual disturbances,Migraine
 acidity; indigestion; blurred and distorted vision; excessive hunger; stiff neck; depression; irritability; visual disturbances,Migraine
 acidity; indigestion; headache; excessive hunger; stiff neck; depression; irritability; visual disturbances,Migraine
 acidity; indigestion; headache; blurred and distorted vision; stiff neck; depression; irritability; visual disturbances,Migraine
 acidity; indigestion; headache; blurred and distorted vision; excessive hunger; depression; irritability; visual disturbances,Migraine
 acidity; indigestion; headache; blurred and distorted vision; excessive hunger; stiff neck; irritability; visual disturbances,Migraine
 acidity; indigestion; headache; blurred and distorted vision; excessive hunger; stiff neck; depression; visual disturbances,Migraine
 acidity; indigestion; headache; blurred and distorted vision; excessive hunger; stiff neck; depression; irritability,Migraine
 back pain; weakness in limbs; neck pain; dizziness; loss of balance,Cervical_spondylosis
 weakness in limbs; neck pain; dizziness; loss of balance,Cervical_spondylosis
 back pain; neck pain; dizziness; loss of balance,Cervical_spondylosis
 back pain; weakness in limbs; dizziness; loss of balance,Cervical_spondylosis
 back pain; weakness in limbs; neck pain; loss of balance,Cervical_spondylosis
 back pain; weakness in limbs; neck pain; dizziness,Cervical_spondylosis
 vomiting; headache; weakness of one body side; altered sensorium,Paralysis__brain_hemorrhage_
 headache; weakness of one body side; altered sensorium,Paralysis__brain_hemorrhage_
 vomiting; weakness of one body side; altered sensorium,Paralysis__brain_hemorrhage_
 vomiting; headache; altered sensorium,Paralysis__brain_hemorrhage_
 vomiting; headache; weakness of one body side,Paralysis__brain_hemorrhage_
itching; vomiting; fatigue; weight loss; high fever; yellowish skin; dark urine; abdominal pain,Jaundice
 vomiting; fatigue; weight loss; high fever; yellowish skin; dark urine; abdominal pain,Jaundice
itching; fatigue; weight loss; high fever; yellowish skin; dark urine; abdominal pain,Jaundice
itching; vomiting; weight loss; high fever; yellowish skin; dark urine; abdominal pain,Jaundice
itching; vomiting; fatigue; high fever; yellowish skin; dark urine; abdominal pain,Jaundice
itching; vomiting; fatigue; weight loss; yellowish skin; dark urine; abdominal pain,Jaundice
itching; vomiting; fatigue; weight loss; high fever; dark urine; abdominal pain,Jaundice
itching; vomiting; fatigue; weight loss; high fever; yellowish skin; abdominal pain,Jaundice
itching; vomiting; fatigue; weight loss; high fever; yellowish skin; dark urine,Jaundice
